UC,Distance_to_River_km
Jalal Abad,47.52
Jamal Channar,43.55
Jamal Pur,123.19
Jamrani  Kohna,39.78
Jamrani  Kohna,49.56
Jamrani  Kohna,70.0
Jatoi Shumali,24.23
Jhadani (zafarabad Sh.whan)uc,129.78
Jhadani (zafarabad Sh.whan)uc,119.23
Jhalarian,8.81
Jhangi Wali,70.38
Jhangi Wali,76.41
Jhuggi Wala,31.77
Jindo Mission,57.79
Kaki Nau,15.35
Karimdad Qureshi,33.24
Karimdad Qureshi,31.93
Kariwala,11.98
Khair Pur Sadat,21.46
Khanga Sharif,54.22
Khangarh Doma,8.07
Khangarh,7.48
Khanpur Shumali,8.22
Khanu Wali,61.05
Khanu Wali,70.02
Kot Addu 01,52.46
Kot Bahadar Shah,7.09
Kot Lakhnana,20.4
Kot Mapal,1.77
Kot Murad,5.11
Kot Sai Singh,13.28
Kot Shakir,21.92
Kot Shakir,23.88
Kotla Gamun,15.53
Kotla Muhammad Zarif Khan,19.04
Kotla Qaim Khan,118.5
Langar Wah,19.76
Langar Wah,17.68
Latkaran,16.58
Madd Wala,2.59
Maharwali,11.19
Mahra Sharqi,18.33
Malhuana,5.43
Manak Pur,25.34
Manka Bhatta,12.44
Mari Shah Sakhira,30.44
Mari Sheikh Shijra,60.86
Mehmood Kot,32.51
Merana,46.75
Merana,59.74
Miani,39.56
Mirpur Bhagal,49.58
Mochiwala,29.94
Mukhiana,17.08
Mukhwara,69.99
Munhan,45.36
Murad Pur Janubi,29.1
Muradabad,6.77
Muzaffargarh City 02,5.5
Muzaffargarh City 04,8.6
Muzaffargarh City 04,11.33
Nadha Garh,33.0
Nuhan Wali,15.98
Pabbar Wala,12.95
Pallah,127.1
Pattal Kot Addu,45.87
Pattal Kot Addu,53.27
Pattal Munda,23.53
Patti Ghulam Ali,10.71
Patti Ghulam Ali,17.14
Patti Ghulam Ali,21.08
Patti Ghulam Ali,33.69
Pir Abdul Rahman,2.21
Pir Kot Sadhana,4.98
Pukkewala,5.02
Qaim Bharwana,7.71
Qaim Pur,134.75
Qaim Pur,70.56
Ram Pur,31.59
Raman,61.02
Rangpur,1.2
Ranjeet Kot,6.27
Rashidpur,3.36
Ratta Matta,4.47
Rodu Sultan,9.5
Rohlan Wali,8.67
